"Start Date: Sep 12, 2026"
"End Date: Sep 20, 2026"
Currency: EUR
Time Zone: UTC
""

Campaign ID,Campaign Name,Start Date,End Date,Days Left in Campaign,Status,App Name,Country or Region,Ad Placement,Bidding Strategy,Daily Budget,Target CPA (Tap-Through),Spend,Avg CPA (Total),Average CPT,Avg CPM,Avg Daily Spend,Impressions,Taps,Installs (Total),TTR,CR (Total),CR (Tap-Through),New Downloads (Total),Redownloads (Total),Installs (View-Through),Installs (Tap-Through),Avg CPA (Tap-Through),New Downloads (View-Through),Redownloads (View-Through),New Downloads (Tap-Through),Redownloads (Tap-Through),Pre-Orders Placed (Tap-Through),Pre-Orders Placed (View-Through),Pre-Orders Placed (Total)
"2144614494","Prawko_PL_Core_Search_2026","Sep 04, 2026","N/A","","RUNNING","Prawko: Prawo jazdy","Poland","App Store Search Results","MANUAL_CPT","2.00","","22.12","0.63","0.45","69.79","","317","49","35","0.1546","0.7143","0.7143","35","0","0","35","0.63","0","0","35","0","0","0","0"
"2144614495","Prawko_PL_Discovery_2026","Sep 04, 2026","N/A","","PAUSED","Prawko: Prawo jazdy","Poland","App Store Search Results","MANUAL_CPT","1.50","","0.00","0.00","0.00","0.00","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2144614496","Ridicak_CZ_Core_Search_2026","Sep 04, 2026","N/A","","RUNNING","Prawko: Prawo jazdy","Czech Republic","App Store Search Results","MANUAL_CPT","2.00","","20.72","0.59","0.38","57.24","","362","54","35","0.1492","0.6481","0.6481","35","0","0","35","0.59","0","0","35","0","0","0","0"
"2144614497","Ridicak_CZ_Discovery_2026","Sep 04, 2026","N/A","","PAUSED","Prawko: Prawo jazdy","Czech Republic","App Store Search Results","MANUAL_CPT","1.00","","0.00","0.00","0.00","0.00","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"","","N/A","N/A","","","","N/A","N/A","","","","42.84","0.61","0.42","63.10","","679","103","70","0.1517","0.6796","0.6796","70","0","0","70","0.61","0","0","70","0","0","0","0"
